time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2023-10-31,55,14.1,6.6,2.5,1
2023-11-01,63,13.6,9.6,11.2,1
2023-11-02,63,11.6,8.9,17.9,1
2023-11-03,63,13.2,7.0,5.7,1
2023-11-04,61,12.6,5.1,5.5,1
2023-11-05,51,12.6,6.1,0.1,1
2023-11-06,2,12.7,6.4,0.0,1
2023-11-07,51,11.9,5.4,0.1,1
2023-10-31,51,8.3,6.7,0.1,2
2023-11-01,63,11.1,6.6,11.5,2
2023-11-02,61,9.1,2.9,11.1,2
2023-11-03,53,10.7,7.9,2.5,2
2023-11-04,51,9.5,6.3,0.7,2
2023-11-05,51,10.6,5.9,0.1,2
2023-11-06,3,10.8,5.8,0.0,2
2023-11-07,2,10.0,5.6,0.0,2
2023-10-31,61,11.4,8.0,4.4,3
2023-11-01,55,12.7,6.6,2.9,3
2023-11-02,61,11.3,7.8,11.6,3
2023-11-03,53,11.7,7.8,3.5,3
2023-11-04,51,8.3,5.8,2.1,3
2023-11-05,53,10.5,5.8,2.3,3
2023-11-06,63,9.7,5.9,7.1,3
2023-11-07,53,10.3,5.4,2.1,3
2023-10-31,3,9.0,5.3,0.0,4
2023-11-01,61,10.2,4.0,11.7,4
2023-11-02,3,9.5,3.1,0.0,4
2023-11-03,51,10.1,2.8,0.5,4
2023-11-04,51,9.3,2.8,0.3,4
2023-11-05,3,10.5,2.9,0.0,4
2023-11-06,61,10.1,4.0,3.1,4
2023-11-07,51,10.4,3.9,0.1,4
2023-10-31,63,11.6,5.0,10.1,5
2023-11-01,61,12.1,6.7,4.5,5
2023-11-02,61,9.8,7.7,15.1,5
2023-11-03,51,11.3,5.6,0.6,5
2023-11-04,63,8.1,4.5,22.3,5
2023-11-05,51,10.9,6.1,0.5,5
2023-11-06,1,10.7,5.8,0.0,5
2023-11-07,51,10.8,5.4,0.1,5
2023-10-31,53,12.2,8.4,4.5,6
2023-11-01,55,12.8,7.1,3.7,6
2023-11-02,63,10.0,7.7,20.0,6
2023-11-03,53,11.4,9.1,4.9,6
2023-11-04,55,8.8,5.7,5.3,6
2023-11-05,53,10.7,7.1,1.4,6
2023-11-06,61,10.3,7.1,3.4,6
2023-11-07,55,11.0,6.7,2.4,6
2023-10-31,63,13.7,9.0,11.1,7
2023-11-01,63,13.6,8.9,14.7,7
2023-11-02,61,12.4,9.4,12.9,7
2023-11-03,51,11.9,7.5,0.4,7
2023-11-04,63,12.7,5.5,7.2,7
2023-11-05,53,11.4,7.5,0.6,7
2023-11-06,51,12.0,8.2,0.2,7
2023-11-07,3,11.5,7.4,0.0,7
2023-10-31,53,9.5,5.6,3.9,8
2023-11-01,55,13.7,6.2,3.6,8
2023-11-02,63,11.8,6.5,9.7,8
2023-11-03,51,12.4,6.6,0.6,8
2023-11-04,53,9.5,5.1,3.3,8
2023-11-05,53,11.2,5.3,1.0,8
2023-11-06,55,10.5,4.5,1.6,8
2023-11-07,3,11.5,5.8,0.0,8
2023-10-31,55,12.9,4.6,2.5,9
2023-11-01,63,12.8,8.1,9.1,9
2023-11-02,63,11.1,8.7,18.6,9
2023-11-03,53,12.1,6.1,1.0,9
2023-11-04,61,11.7,4.7,7.5,9
2023-11-05,51,11.8,4.7,0.1,9
2023-11-06,3,12.1,5.8,0.0,9
2023-11-07,3,11.4,5.5,0.0,9
2023-10-31,61,13.9,9.4,9.3,10
2023-11-01,63,13.4,9.2,16.5,10
2023-11-02,61,11.8,8.7,10.5,10
2023-11-03,3,12.6,6.4,0.0,10
2023-11-04,61,12.1,6.4,7.3,10
2023-11-05,51,11.8,7.2,0.9,10
2023-11-06,51,11.9,6.7,0.2,10
2023-11-07,3,11.8,6.5,0.0,10
