time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day,city
2008-11-01,51,8.7,3.0,0.1,11.01,8
2008-11-01,3,6.1,-0.9,0.0,11.01,4
2008-11-01,51,5.9,1.4,0.4,11.01,2
2008-11-01,63,8.2,1.0,16.3,11.01,9
2008-11-01,61,7.7,0.2,5.1,11.01,5
2008-11-01,61,8.2,0.7,9.4,11.01,7
2008-11-01,3,9.2,3.2,0.0,11.01,6
2008-11-01,3,8.7,1.4,0.0,11.01,3
2008-11-01,55,8.2,1.6,5.2,11.01,10
2008-11-01,63,9.2,2.2,13.7,11.01,1
2008-11-02,1,7.5,1.0,0.0,11.02,2
2008-11-02,3,8.3,1.2,0.0,11.02,4
2008-11-02,53,8.6,5.2,2.5,11.02,3
2008-11-02,3,11.2,4.9,0.0,11.02,1
2008-11-02,51,9.5,5.8,0.1,11.02,6
2008-11-02,53,8.4,6.5,5.4,11.02,8
2008-11-02,55,9.0,6.8,3.1,11.02,9
2008-11-02,61,8.0,5.8,5.6,11.02,5
2008-11-02,53,8.5,5.9,2.3,11.02,7
2008-11-02,53,8.9,5.6,2.6,11.02,10
2008-11-03,3,10.5,5.7,0.0,11.03,5
2008-11-03,51,11.2,6.8,0.1,11.03,1
2008-11-03,3,4.3,-0.8,0.0,11.03,2
2008-11-03,3,10.8,6.7,0.0,11.03,8
2008-11-03,3,10.5,6.2,0.0,11.03,6
2008-11-03,3,10.1,6.0,0.0,11.03,3
2008-11-03,3,10.7,6.8,0.0,11.03,7
2008-11-03,3,6.1,-1.0,0.0,11.03,4
2008-11-03,3,10.7,5.8,0.0,11.03,9
2008-11-03,51,10.5,7.3,0.4,11.03,10
2008-11-04,3,12.9,7.9,0.0,11.04,1
2008-11-04,51,11.8,8.4,1.4,11.04,10
2008-11-04,51,10.6,7.9,0.3,11.04,5
2008-11-04,51,12.1,8.6,0.1,11.04,7
2008-11-04,51,11.7,8.7,0.5,11.04,9
2008-11-04,3,10.0,8.3,0.0,11.04,8
2008-11-04,3,9.5,6.3,0.0,11.04,3
2008-11-04,51,9.7,6.5,3.3,11.04,6
2008-11-04,3,8.3,1.7,0.0,11.04,4
2008-11-04,3,8.8,0.9,0.0,11.04,2
2008-11-05,3,9.4,7.3,0.0,11.05,3
2008-11-05,3,10.0,8.4,0.0,11.05,9
2008-11-05,3,9.7,8.1,0.0,11.05,6
2008-11-05,3,10.6,8.5,0.0,11.05,7
2008-11-05,51,11.4,8.5,0.3,11.05,1
2008-11-05,3,10.3,8.1,0.0,11.05,8
2008-11-05,51,11.5,8.4,0.3,11.05,10
2008-11-05,3,9.3,7.6,0.0,11.05,5
2008-11-05,3,8.2,3.3,0.0,11.05,4
2008-11-05,3,8.6,3.1,0.0,11.05,2
2008-11-06,51,10.0,7.8,2.1,11.06,10
2008-11-06,3,9.0,6.4,0.0,11.06,4
2008-11-06,51,10.0,7.1,0.1,11.06,3
2008-11-06,51,11.1,9.1,0.4,11.06,1
2008-11-06,53,9.3,6.8,2.2,11.06,2
2008-11-06,51,9.9,7.6,0.1,11.06,6
2008-11-06,3,10.2,7.0,0.0,11.06,9
2008-11-06,51,8.6,6.7,0.2,11.06,5
2008-11-06,3,9.6,7.1,0.0,11.06,7
2008-11-06,3,10.2,8.2,0.0,11.06,8
2008-11-07,53,11.0,7.7,3.2,11.07,6
2008-11-07,51,12.0,8.1,1.2,11.07,1
2008-11-07,55,10.4,6.5,3.1,11.07,3
2008-11-07,53,10.6,5.9,2.5,11.07,8
2008-11-07,61,9.3,7.0,8.1,11.07,4
2008-11-07,53,11.0,6.7,1.6,11.07,9
2008-11-07,53,9.6,7.3,2.4,11.07,2
2008-11-07,53,9.9,6.0,2.6,11.07,5
2008-11-07,61,10.9,7.1,3.8,11.07,7
2008-11-07,61,10.6,7.7,7.0,11.07,10
2008-11-08,61,11.5,5.9,7.3,11.08,5
2008-11-08,63,12.5,6.6,8.7,11.08,9
2008-11-08,61,11.9,7.9,5.8,11.08,1
2008-11-08,63,9.8,6.3,14.9,11.08,4
2008-11-08,61,11.6,5.3,8.0,11.08,8
2008-11-08,63,9.7,6.1,10.0,11.08,2
2008-11-08,61,11.5,6.2,9.2,11.08,3
2008-11-08,63,12.0,7.4,10.8,11.08,6
2008-11-08,63,12.6,8.5,13.0,11.08,10
2008-11-08,63,12.8,7.5,9.3,11.08,7
2008-11-09,51,6.2,3.8,1.0,11.09,2
2008-11-09,55,6.0,3.9,5.3,11.09,4
2008-11-09,53,11.5,5.9,2.9,11.09,1
2008-11-09,61,8.2,4.5,7.4,11.09,8
2008-11-09,63,9.2,4.7,12.4,11.09,5
2008-11-09,61,8.7,6.2,9.2,11.09,6
2008-11-09,61,10.9,6.2,8.1,11.09,7
2008-11-09,53,10.9,5.8,4.2,11.09,9
2008-11-09,61,10.3,6.6,13.7,11.09,10
2008-11-09,61,8.1,4.8,9.1,11.09,3
2008-11-10,53,7.2,4.9,1.8,11.1,3
2008-11-10,61,9.2,6.5,7.7,11.1,10
2008-11-10,61,9.8,6.3,8.8,11.1,9
2008-11-10,53,7.8,6.2,1.8,11.1,6
2008-11-10,61,9.4,7.0,9.4,11.1,7
2008-11-10,51,7.8,4.3,0.6,11.1,8
2008-11-10,61,7.4,3.6,8.2,11.1,4
2008-11-10,53,7.8,3.7,1.3,11.1,2
2008-11-10,63,12.0,7.5,18.1,11.1,1
2008-11-10,55,6.9,4.9,3.5,11.1,5
2008-11-11,51,10.2,6.6,0.4,11.11,7
2008-11-11,61,9.3,7.1,8.6,11.11,6
2008-11-11,51,8.5,5.8,0.6,11.11,8
2008-11-11,53,8.3,6.0,4.6,11.11,3
2008-11-11,53,9.5,5.7,0.5,11.11,9
2008-11-11,51,8.5,5.1,0.1,11.11,5
2008-11-11,53,8.5,6.5,1.1,11.11,2
2008-11-11,53,10.1,7.2,2.5,11.11,10
2008-11-11,61,8.8,6.5,3.8,11.11,4
2008-11-11,53,10.1,5.9,0.6,11.11,1
2008-11-12,3,10.2,6.0,0.0,11.12,10
2008-11-12,2,9.4,3.5,0.0,11.12,8
2008-11-12,53,9.4,4.8,0.9,11.12,3
2008-11-12,2,10.2,3.5,0.0,11.12,7
2008-11-12,3,9.9,4.1,0.0,11.12,9
2008-11-12,3,10.2,4.1,0.0,11.12,1
2008-11-12,51,8.3,3.0,0.5,11.12,4
2008-11-12,51,10.0,7.7,1.2,11.12,6
2008-11-12,51,7.8,4.3,0.2,11.12,2
2008-11-12,3,9.6,4.0,0.0,11.12,5
2008-11-13,53,10.5,3.2,2.8,11.13,5
2008-11-13,53,11.5,5.7,2.7,11.13,10
2008-11-13,53,11.1,5.4,2.1,11.13,3
2008-11-13,55,11.1,7.0,3.4,11.13,4
2008-11-13,51,10.2,2.9,1.5,11.13,9
2008-11-13,61,11.5,3.4,2.9,11.13,8
2008-11-13,55,10.5,1.7,1.0,11.13,1
2008-11-13,53,11.7,7.2,2.6,11.13,6
2008-11-13,55,11.2,6.2,2.4,11.13,2
2008-11-13,53,11.0,2.5,3.3,11.13,7
2008-11-14,51,11.8,10.6,0.7,11.14,4
2008-11-14,3,12.6,9.6,0.0,11.14,7
2008-11-14,3,12.6,9.1,0.0,11.14,1
2008-11-14,3,11.8,10.6,0.0,11.14,2
2008-11-14,3,12.9,8.8,0.0,11.14,5
2008-11-14,3,12.3,10.1,0.0,11.14,10
2008-11-14,3,12.3,10.5,0.0,11.14,6
2008-11-14,3,11.6,9.3,0.0,11.14,3
2008-11-14,3,12.7,8.7,0.0,11.14,9
2008-11-14,3,12.5,9.9,0.0,11.14,8
2008-11-15,51,11.6,7.2,0.4,11.15,3
2008-11-15,3,13.2,8.5,0.0,11.15,1
2008-11-15,3,12.2,6.9,0.0,11.15,8
2008-11-15,3,12.5,9.6,0.0,11.15,5
2008-11-15,3,12.5,10.1,0.0,11.15,7
2008-11-15,3,11.8,6.7,0.0,11.15,2
2008-11-15,53,12.1,9.3,1.5,11.15,6
2008-11-15,3,12.3,10.7,0.0,11.15,10
2008-11-15,3,12.6,8.8,0.0,11.15,9
2008-11-15,51,11.6,7.1,0.5,11.15,4
2008-11-16,51,12.4,8.9,0.2,11.16,10
2008-11-16,3,12.7,8.0,0.0,11.16,7
2008-11-16,3,12.4,6.6,0.0,11.16,1
2008-11-16,3,8.8,3.7,0.0,11.16,8
2008-11-16,3,7.2,3.0,0.0,11.16,4
2008-11-16,1,6.7,0.6,0.0,11.16,2
2008-11-16,3,11.9,5.5,0.0,11.16,9
2008-11-16,3,10.0,3.9,0.0,11.16,5
2008-11-16,51,9.0,4.1,0.1,11.16,3
2008-11-16,51,9.8,4.9,0.1,11.16,6
2008-11-17,53,10.2,4.3,5.1,11.17,6
2008-11-17,53,9.7,1.0,4.3,11.17,4
2008-11-17,53,10.6,8.1,3.1,11.17,10
2008-11-17,51,8.6,1.3,2.0,11.17,8
2008-11-17,53,8.9,2.4,1.9,11.17,1
2008-11-17,53,10.5,7.1,3.5,11.17,7
2008-11-17,53,9.0,3.2,3.6,11.17,3
2008-11-17,51,9.2,3.7,1.8,11.17,9
2008-11-17,53,8.8,2.4,2.0,11.17,5
